SRR12873300	SRR128733001	SRR12873301	SRR128733011	SRR12873302	SRR128733021	SRR12873303	SRR128733031	SRR12873304	SRR128733041	SRR12873305	SRR128733051	SRR12873306	SRR128733061	SRR12873307	SRR128733071	SRR12873308	SRR128733081	SRR12873309	SRR128733091	SRR12873310	SRR128733101	SRR12873311	SRR128733111	SRR12873312	SRR128733121	SRR12873313	SRR128733131	SRR12873314	SRR128733141	SRR12873315	SRR128733151	SRR12873316	SRR128733161	SRR12873317	SRR128733171	SRR12873318	SRR128733181	SRR12873319	SRR128733191	SRR12873320	SRR128733201	SRR12873321	SRR128733211	SRR12873322	SRR128733221	SRR12873323	SRR128733231	SRR12873324	SRR128733241	SRR12873325	SRR128733251	SRR12873326	SRR128733261	SRR12873327	SRR128733271	SRR12873328	SRR128733281
ASV_0036	1460	1460	815	815	540	540	19	19	58	58	182	182	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	0	0	0	0	315	315	0	0	0	0	0	0	1313	1313	0	0	0	0	25	25	0	0	0	0
ASV_0037	199	199	173	173	262	262	28	28	0	0	303	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1179	1179	0	0	0	0	31	31	0	0	0	0	266	266	880	880	76	76	0	0	38	38	16	16	1231	1231
ASV_0038	0	0	47	47	0	0	0	0	0	0	408	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	820	77	77	650	650	315	315	0	0	0	0	269	269	1546	1546	229	229	0	0	97	97
ASV_0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	116	0	0	4302	4302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0040	790	790	383	383	1904	1904	0	0	0	0	461	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	0	0	0	0	129	129	28	28	0	0	0	0	643	643	0	0	0	0	21	21	0	0	7	7
ASV_0041	69	69	925	925	503	503	0	0	0	0	965	965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261	1261	0	0	0	0	0	0	553	553	0	0	0	0	0	0	0	0	0	0
ASV_0042	41	41	77	77	90	90	0	0	0	0	247	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	45	63	63	1444	1444	177	177	0	0	0	0	347	347	57	57	545	545	43	43	926	926
ASV_0043	57	57	311	311	33	33	0	0	235	235	113	113	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	960	0	0	255	255	1276	1276	0	0	48	48	44	44	72	72	0	0	422	422	147	147	66	66	0	0
ASV_0044	53	53	200	200	54	54	0	0	168	168	106	106	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	549	0	0	299	299	1865	1865	37	37	0	0	0	0	40	40	0	0	297	297	116	116	63	63	32	32
ASV_0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	117	0	0	3785	3785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0046	888	888	905	905	913	913	15	15	16	16	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	27	0	0	25	25	79	79	74	74	39	39	0	0	416	416	99	99	38	38	32	32	39	39	216	216
ASV_0047	1777	1777	364	364	52	52	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	8	8	0	0	4	4	22	22	162	162	0	0	0	0	1296	1296	0	0	71	71
ASV_0048	439	439	445	445	1125	1125	15	15	35	35	128	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	58	0	0	7	7	688	688	0	0	19	19	159	159	222	222	0	0	49	49	108	108	32	32	72	72
ASV_0049	103	103	11	11	40	40	544	544	226	226	42	42	207	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	297	0	0	11	11	0	0	7	7	0	0	963	963	216	216	14	14	3	3	286	286	386	386	235	235
ASV_0050	0	0	33	33	71	71	0	0	0	0	222	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	74	90	90	1553	1553	177	177	0	0	8	8	205	205	53	53	394	394	0	0	709	709
ASV_0051	0	0	53	53	0	0	459	459	2102	2102	249	249	329	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	0	0	0	0	279	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	0	0
ASV_0052	0	0	0	0	15	15	1319	1319	645	645	17	17	595	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	67	0	0	0	0	0	0	0	0	0	0	157	157	69	69	0	0	11	11	20	20	525	525	100	100
ASV_0053	1052	1052	459	459	442	442	0	0	0	0	179	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	383	0	0	0	0	0	0	781	781	0	0	0	0	0	0	0	0	10	10
ASV_0054	0	0	0	0	0	0	406	406	171	171	102	102	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	1440	0	0	27	27	0	0	30	30	36	36	46	46	0	0	399	399	83	83	282	282	142	142	0	0
ASV_0055	0	0	139	139	68	68	48	48	47	47	26	26	321	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	185	0	0	0	0	0	0	0	0	0	0	33	33	832	832	1144	1144	250	250	0	0	84	84	27	27
ASV_0056	0	0	28	28	17	17	1213	1213	18	18	6	6	203	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	0	0	0	0	243	243	0	0	15	15	406	406	266	266	425	425	67	67	4	4	242	242	11	11
ASV_0057	269	269	1040	1040	1016	1016	0	0	0	0	377	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	323	0	0	0	0	0	0	44	44	0	0	0	0	87	87	0	0	0	0
ASV_0058	327	327	273	273	928	928	0	0	0	0	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	0	0	0	0	958	958	0	0	0	0	111	111	116	116	0	0	32	32	60	60	20	20	59	59
